,0
1430,788000
1431,789000
1432,790000
1433,791000
1434,792000
1435,793000
1436,794000
1437,795000
1438,796000
1439,797000
1440,798000
1441,799000
1442,800000
1443,801000
1444,802000
1445,803000
1446,804000
1447,805000
1448,806000
1449,807000
1450,808000
1451,809000
1452,468000
1453,469000
1454,788000
1455,789000
1456,790000
1457,791000
1458,792000
1459,793000
1460,794000
1461,795000
1462,796000
1463,797000
1464,798000
1465,799000
1466,800000
1467,801000
1468,802000
1469,803000
1470,804000
1471,805000
1472,806000
1473,807000
1474,808000
1475,809000
1476,789000
1477,790000
1478,791000
1479,792000
1480,793000
1481,794000
1482,795000
1483,796000
1484,797000
1485,798000
1486,799000
1487,800000
1488,801000
1489,802000
1490,803000
1491,804000
1492,805000
1493,806000
1494,807000
1495,808000
1496,809000
1497,789000
1498,790000
1499,791000
1500,792000
1501,793000
1502,794000
1503,795000
1504,796000
1505,797000
1506,798000
1507,799000
1508,800000
1509,801000
1510,802000
1511,803000
1512,804000
1513,805000
1514,806000
1515,807000
1516,808000
1517,809000
1518,790000
1519,791000
1520,792000
1521,793000
1522,794000
1523,795000
1524,796000
1525,797000
1526,798000
1527,799000
1528,800000
1529,801000
1530,802000
1531,803000
1532,804000
1533,805000
1534,806000
1535,807000
1536,808000
1537,809000
1538,790000
1539,791000
1540,792000
1541,793000
1542,794000
1543,795000
1544,796000
1545,797000
1546,798000
1547,799000
1548,800000
1549,801000
1550,802000
1551,803000
1552,804000
1553,805000
1554,806000
1555,807000
1556,808000
1557,809000
1558,791000
1559,792000
1560,793000
1561,794000
1562,795000
1563,796000
1564,797000
1565,798000
1566,799000
1567,800000
1568,801000
1569,802000
1570,803000
1571,804000
1572,805000
1573,806000
1574,807000
1575,808000
1576,809000
1577,792000
1578,793000
1579,794000
1580,795000
1581,796000
1582,797000
1583,798000
1584,799000
1585,800000
1586,801000
1587,802000
1588,803000
1589,804000
1590,805000
1591,806000
1592,807000
1593,808000
1594,809000
1595,793000
1596,794000
1597,795000
1598,796000
1599,797000
1600,798000
1601,799000
1602,800000
1603,801000
1604,802000
1605,803000
1606,804000
1607,805000
1608,806000
1609,807000
1610,808000
1611,809000
1612,793000
1613,794000
1614,795000
1615,796000
1616,797000
1617,798000
1618,799000
1619,800000
1620,801000
1621,802000
1622,803000
1623,804000
1624,805000
1625,806000
1626,807000
1627,808000
1628,809000
1629,794000
1630,795000
1631,796000
1632,797000
1633,798000
1634,799000
1635,800000
1636,801000
1637,802000
1638,803000
1639,804000
1640,805000
1641,806000
1642,807000
1643,808000
1644,809000
1645,795000
1646,796000
1647,797000
1648,798000
1649,799000
1650,800000
1651,801000
1652,802000
1653,803000
1654,804000
1655,805000
1656,806000
1657,807000
1658,808000
1659,809000
1660,795000
1661,796000
1662,797000
1663,798000
1664,799000
1665,800000
1666,801000
1667,802000
1668,803000
1669,804000
1670,805000
1671,806000
1672,807000
1673,808000
1674,809000
1675,795000
1676,796000
1677,797000
1678,798000
1679,799000
1680,800000
1681,801000
1682,802000
1683,803000
1684,804000
1685,805000
1686,806000
1687,807000
1688,808000
1689,809000
1690,796000
1691,797000
1692,798000
1693,799000
1694,800000
1695,801000
1696,802000
1697,803000
1698,804000
1699,805000
1700,806000
1701,807000
1702,808000
1703,809000
1704,797000
1705,798000
1706,799000
1707,800000
1708,801000
1709,802000
1710,803000
1711,804000
1712,805000
1713,806000
1714,807000
1715,808000
1716,809000
1717,798000
1718,799000
1719,800000
1720,801000
1721,802000
1722,803000
1723,804000
1724,805000
1725,806000
1726,807000
1727,808000
1728,809000
1729,799000
1730,800000
1731,801000
1732,802000
1733,803000
1734,804000
1735,805000
1736,806000
1737,807000
1738,808000
1739,809000
1740,799000
1741,800000
1742,801000
1743,802000
1744,803000
1745,804000
1746,805000
1747,806000
1748,807000
1749,808000
1750,809000
1751,800000
1752,801000
1753,802000
1754,803000
1755,804000
1756,805000
1757,806000
1758,807000
1759,808000
1760,809000
1761,801000
1762,802000
1763,803000
1764,804000
1765,805000
1766,806000
1767,807000
1768,808000
1769,809000
1770,801000
1771,802000
1772,803000
1773,804000
1774,805000
1775,806000
1776,807000
1777,808000
1778,809000
1779,802000
1780,803000
1781,804000
1782,805000
1783,806000
1784,807000
1785,808000
1786,809000
1787,802000
1788,803000
1789,804000
1790,805000
1791,806000
1792,807000
1793,808000
1794,809000
1795,803000
1796,804000
1797,805000
1798,806000
1799,807000
1800,808000
1801,809000
1802,804000
1803,805000
1804,806000
1805,807000
1806,808000
1807,809000
1808,805000
1809,806000
1810,807000
1811,808000
1812,809000
1813,805000
1814,806000
1815,807000
1816,808000
1817,809000
1818,806000
1819,807000
1820,808000
1821,809000
1822,806000
1823,807000
1824,808000
1825,809000
1826,807000
1827,808000
1828,809000
1829,808000
1830,809000
1831,809000
1832,467000
1833,468000
1834,469000
1835,470000
1836,471000
1837,467000
1838,468000
1839,469000
1840,470000
1841,471000
1842,472000
1843,467000
1844,468000
1845,469000
1846,470000
1847,471000
1848,472000
1849,467000
1850,468000
1851,469000
1852,470000
1853,471000
1854,467000
1855,468000
1856,469000
1857,470000
1858,471000
1859,467000
1860,468000
1861,469000
1862,470000
1863,471000
1864,467000
1865,468000
1866,469000
1867,470000
1868,471000
1869,467000
1870,468000
1871,469000
1872,470000
1873,467000
1874,468000
1875,467000
1876,468000
1877,467000
1878,468000
1879,467000
1880,468000
1881,469000
1882,467000
1883,467000
1884,467000
1885,468000
1886,469000
1887,467000
1888,468000
1889,469000
1890,467000
1891,468000
1892,467000
1893,468000
1894,469000
1895,467000
1896,468000
1897,469000
1898,470000
1899,467000
1900,468000
1901,469000
1902,470000
1903,471000
1904,472000
1905,473000
1906,467000
1907,468000
1908,469000
1909,470000
1910,471000
1911,472000
1912,473000
1913,467000
1914,468000
1915,469000
1916,470000
1917,471000
1918,472000
1919,473000
1920,467000
1921,468000
1922,469000
1923,470000
1924,471000
1925,472000
1926,473000
1927,474000
1928,467000
1929,468000
1930,469000
1931,470000
1932,471000
1933,472000
1934,473000
1935,474000
1936,467000
1937,468000
